,train,val,test
0,BRACS_3313,,BRACS_1995
1,BRACS_1836,,BRACS_3310
2,BRACS_1498,,BRACS_1946
3,BRACS_1618,,BRACS_1244
4,BRACS_1785,,BRACS_1619
5,BRACS_1409,,BRACS_1848
6,BRACS_1621,,BRACS_1003661
7,BRACS_1993,,BRACS_1634
8,BRACS_1997,,BRACS_1845
9,BRACS_1791,,BRACS_3298
10,BRACS_1837,,BRACS_1603
11,BRACS_1604,,BRACS_1276
12,BRACS_1335,,BRACS_1608
13,BRACS_1495,,BRACS_1904
14,BRACS_1834,,BRACS_1832
15,BRACS_1949,,BRACS_1850
16,BRACS_1957,,BRACS_761
17,BRACS_1782,,BRACS_3272
18,BRACS_1918,,BRACS_1327
19,BRACS_1914,,BRACS_1967
20,BRACS_1594,,BRACS_1424
21,BRACS_1963,,BRACS_1645
22,BRACS_1642,,BRACS_1974
23,BRACS_1786,,BRACS_1598
24,BRACS_1780,,BRACS_1855
25,BRACS_1783,,BRACS_1920
26,BRACS_3278,,BRACS_1927
27,BRACS_1792,,BRACS_1811
28,BRACS_1270,,BRACS_1366
29,BRACS_1917,,BRACS_1897
30,BRACS_1581,,BRACS_1512
31,BRACS_1003685,,BRACS_1286
32,BRACS_1003707,,BRACS_1910
33,BRACS_1873,,BRACS_1413
34,BRACS_1789,,BRACS_3315
35,BRACS_1958,,BRACS_301
36,BRACS_1881,,BRACS_747
37,BRACS_1793,,BRACS_283
38,BRACS_1326,,BRACS_1908
39,BRACS_1996,,BRACS_750
40,BRACS_2001,,BRACS_1003678
41,BRACS_1667,,BRACS_1232
42,BRACS_3273,,BRACS_1287
43,BRACS_3317,,BRACS_291
44,BRACS_1617,,BRACS_1610
45,BRACS_1606,,BRACS_1319
46,BRACS_1787,,BRACS_1250
47,BRACS_1596,,BRACS_1858
48,BRACS_1337,,BRACS_1856
49,BRACS_2005,,BRACS_1616
50,BRACS_1591,,BRACS_1938
51,BRACS_3284,,BRACS_1863
52,BRACS_1295,,BRACS_1913
53,BRACS_1609,,
54,BRACS_265,,
55,BRACS_1595,,
56,BRACS_1334,,
57,BRACS_1952,,
58,BRACS_1416,,
59,BRACS_1824,,
60,BRACS_1821,,
61,BRACS_1853,,
62,BRACS_1669,,
63,BRACS_758,,
64,BRACS_1668,,
65,BRACS_1003659,,
66,BRACS_1901,,
67,BRACS_1962,,
68,BRACS_1003710,,
69,BRACS_745,,
70,BRACS_1905,,
71,BRACS_1924,,
72,BRACS_1994,,
73,BRACS_1665,,
74,BRACS_1003686,,
75,BRACS_1485,,
76,BRACS_1620,,
77,BRACS_1961,,
78,BRACS_1796,,
79,BRACS_1902,,
80,BRACS_1605,,
81,BRACS_2002,,
82,BRACS_1003672,,
83,BRACS_3270,,
84,BRACS_1324,,
85,BRACS_1631,,
86,BRACS_1988,,
87,BRACS_3271,,
88,BRACS_1320,,
89,BRACS_1249,,
90,BRACS_1511,,
91,BRACS_1661,,
92,BRACS_1640,,
93,BRACS_1336,,
94,BRACS_1003668,,
95,BRACS_1972,,
96,BRACS_1964,,
97,BRACS_1273,,
98,BRACS_1772,,
99,BRACS_1890,,
100,BRACS_3268,,
101,BRACS_1259,,
102,BRACS_3269,,
103,BRACS_1965,,
104,BRACS_3312,,
105,BRACS_1784,,
106,BRACS_1655,,
107,BRACS_1325,,
108,BRACS_1660,,
109,BRACS_3281,,
110,BRACS_1869,,
111,BRACS_1408,,
112,BRACS_1664,,
113,BRACS_1370,,
114,BRACS_1003706,,
115,BRACS_3274,,
116,BRACS_1240,,
117,BRACS_1003734,,
118,BRACS_1582,,
119,BRACS_1948,,
120,BRACS_1880,,
121,BRACS_1003730,,
122,BRACS_3334,,
123,BRACS_3283,,
124,BRACS_1003669,,
125,BRACS_1779,,
126,BRACS_1329,,
127,BRACS_3336,,
128,BRACS_3309,,
129,BRACS_3335,,
130,BRACS_760,,
131,BRACS_1251,,
132,BRACS_1253,,
133,BRACS_1879,,
134,BRACS_1003724,,
135,BRACS_1989,,
136,BRACS_1960,,
137,BRACS_1508,,
138,BRACS_1839,,
140,BRACS_1242,,
141,BRACS_1321,,
142,BRACS_1274,,
143,BRACS_1483,,
144,BRACS_1248,,
145,BRACS_3276,,
146,BRACS_1893,,
147,BRACS_1659,,
148,BRACS_1255,,
149,BRACS_1900,,
150,BRACS_2000,,
151,BRACS_1966,,
152,BRACS_1003725,,
153,BRACS_1841,,
154,BRACS_1612,,
155,BRACS_1656,,
156,BRACS_1003700,,
157,BRACS_1583,,
158,BRACS_1493,,
159,BRACS_1322,,
160,BRACS_1986,,
161,BRACS_1633,,
162,BRACS_1338,,
163,BRACS_3279,,
164,BRACS_1003671,,
165,BRACS_1480,,
166,BRACS_2004,,
167,BRACS_1241,,
168,BRACS_1866,,
169,BRACS_1318,,
170,BRACS_3311,,
171,BRACS_1666,,
172,BRACS_1423,,
173,BRACS_3296,,
174,BRACS_1980,,
175,BRACS_1275,,
176,BRACS_3295,,
177,BRACS_3337,,
178,BRACS_1851,,
179,BRACS_1330,,
180,BRACS_1906,,
181,BRACS_1412,,
182,BRACS_1846,,
183,BRACS_1842,,
184,BRACS_3324,,
185,BRACS_1940,,
186,BRACS_1843,,
187,BRACS_1870,,
188,BRACS_264,,
