,train,val,test
0,CRC_test_000,,CRC_test_678
1,CRC_test_006,,CRC_test_083
2,CRC_test_016,,CRC_test_520
3,CRC_test_025,,CRC_test_538
4,CRC_test_033,,CRC_test_326
5,CRC_test_041,,CRC_test_675
6,CRC_test_043,,CRC_test_005
7,CRC_test_048,,CRC_test_501
8,CRC_test_055,,CRC_test_528
9,CRC_test_062,,CRC_test_835
10,CRC_test_072,,CRC_test_792
11,CRC_test_087,,CRC_test_499
12,CRC_test_091,,CRC_test_789
13,CRC_test_094,,CRC_test_207
14,CRC_test_095,,CRC_test_377
15,CRC_test_096,,CRC_test_331
16,CRC_test_097,,CRC_test_139
17,CRC_test_100,,CRC_test_823
18,CRC_test_115,,CRC_test_833
19,CRC_test_119,,CRC_test_262
20,CRC_test_123,,CRC_test_510
21,CRC_test_124,,CRC_test_887
22,CRC_test_134,,CRC_test_485
23,CRC_test_138,,CRC_test_101
24,CRC_test_143,,CRC_test_204
25,CRC_test_148,,CRC_test_844
26,CRC_test_165,,CRC_test_786
27,CRC_test_173,,CRC_test_054
28,CRC_test_181,,CRC_test_285
29,CRC_test_189,,CRC_test_707
30,CRC_test_196,,CRC_test_596
31,CRC_test_216,,CRC_test_895
32,CRC_test_222,,CRC_test_471
33,CRC_test_226,,CRC_test_313
34,CRC_test_258,,CRC_test_315
35,CRC_test_265,,CRC_test_340
36,CRC_test_266,,CRC_test_103
37,CRC_test_267,,CRC_test_885
38,CRC_test_272,,CRC_test_155
39,CRC_test_279,,CRC_test_537
40,CRC_test_283,,CRC_test_209
41,CRC_test_292,,CRC_test_166
42,CRC_test_297,,CRC_test_174
43,CRC_test_298,,CRC_test_459
44,CRC_test_300,,CRC_test_348
45,CRC_test_305,,CRC_test_169
46,CRC_test_317,,CRC_test_422
47,CRC_test_321,,CRC_test_219
48,CRC_test_323,,CRC_test_256
49,CRC_test_336,,CRC_test_084
50,CRC_test_343,,CRC_test_187
51,CRC_test_363,,CRC_test_762
52,CRC_test_367,,CRC_test_402
53,CRC_test_370,,CRC_test_253
54,CRC_test_374,,CRC_test_777
55,CRC_test_383,,CRC_test_400
56,CRC_test_390,,CRC_test_277
57,CRC_test_393,,CRC_test_534
58,CRC_test_405,,CRC_test_242
59,CRC_test_426,,CRC_test_178
60,CRC_test_430,,CRC_test_851
61,CRC_test_431,,CRC_test_449
62,CRC_test_434,,CRC_test_398
63,CRC_test_447,,CRC_test_044
64,CRC_test_461,,CRC_test_696
65,CRC_test_469,,CRC_test_477
66,CRC_test_470,,CRC_test_763
67,CRC_test_491,,CRC_test_128
68,CRC_test_494,,CRC_test_278
69,CRC_test_498,,CRC_test_631
70,CRC_test_526,,CRC_test_306
71,CRC_test_527,,CRC_test_404
72,CRC_test_533,,CRC_test_817
73,CRC_test_536,,CRC_test_442
74,CRC_test_555,,CRC_test_035
75,CRC_test_563,,CRC_test_151
76,CRC_test_565,,CRC_test_050
77,CRC_test_574,,CRC_test_327
78,CRC_test_603,,CRC_test_130
79,CRC_test_605,,CRC_test_724
80,CRC_test_614,,CRC_test_017
81,CRC_test_618,,CRC_test_515
82,CRC_test_622,,CRC_test_856
83,CRC_test_627,,
84,CRC_test_668,,
85,CRC_test_669,,
86,CRC_test_695,,
87,CRC_test_697,,
88,CRC_test_698,,
89,CRC_test_699,,
90,CRC_test_706,,
91,CRC_test_710,,
92,CRC_test_723,,
93,CRC_test_735,,
94,CRC_test_742,,
95,CRC_test_744,,
96,CRC_test_757,,
97,CRC_test_772,,
98,CRC_test_778,,
99,CRC_test_781,,
100,CRC_test_784,,
101,CRC_test_790,,
102,CRC_test_798,,
103,CRC_test_799,,
104,CRC_test_803,,
105,CRC_test_804,,
106,CRC_test_809,,
107,CRC_test_813,,
108,CRC_test_816,,
109,CRC_test_820,,
110,CRC_test_822,,
111,CRC_test_862,,
112,CRC_test_868,,
113,CRC_test_873,,
114,CRC_test_882,,
115,CRC_test_897,,
116,CRC_test_898,,
117,CRC_test_899,,
118,CRC_test_001,,
119,CRC_test_002,,
120,CRC_test_003,,
121,CRC_test_007,,
122,CRC_test_009,,
123,CRC_test_011,,
124,CRC_test_012,,
125,CRC_test_013,,
126,CRC_test_014,,
127,CRC_test_015,,
128,CRC_test_018,,
129,CRC_test_020,,
130,CRC_test_021,,
131,CRC_test_022,,
132,CRC_test_027,,
133,CRC_test_028,,
134,CRC_test_029,,
135,CRC_test_034,,
136,CRC_test_036,,
137,CRC_test_038,,
138,CRC_test_039,,
139,CRC_test_040,,
140,CRC_test_047,,
141,CRC_test_053,,
142,CRC_test_056,,
143,CRC_test_057,,
144,CRC_test_058,,
145,CRC_test_059,,
146,CRC_test_060,,
147,CRC_test_061,,
148,CRC_test_063,,
149,CRC_test_065,,
150,CRC_test_067,,
151,CRC_test_070,,
152,CRC_test_071,,
153,CRC_test_075,,
154,CRC_test_077,,
155,CRC_test_078,,
156,CRC_test_081,,
157,CRC_test_082,,
158,CRC_test_085,,
159,CRC_test_088,,
160,CRC_test_090,,
161,CRC_test_093,,
162,CRC_test_098,,
163,CRC_test_102,,
164,CRC_test_104,,
165,CRC_test_105,,
166,CRC_test_106,,
167,CRC_test_107,,
168,CRC_test_108,,
169,CRC_test_116,,
170,CRC_test_118,,
171,CRC_test_121,,
172,CRC_test_122,,
173,CRC_test_127,,
174,CRC_test_131,,
175,CRC_test_135,,
176,CRC_test_137,,
177,CRC_test_141,,
178,CRC_test_145,,
179,CRC_test_147,,
180,CRC_test_149,,
181,CRC_test_152,,
182,CRC_test_153,,
183,CRC_test_154,,
184,CRC_test_156,,
185,CRC_test_157,,
186,CRC_test_158,,
187,CRC_test_159,,
188,CRC_test_161,,
189,CRC_test_164,,
190,CRC_test_167,,
191,CRC_test_170,,
192,CRC_test_172,,
193,CRC_test_175,,
194,CRC_test_177,,
195,CRC_test_179,,
196,CRC_test_182,,
197,CRC_test_184,,
198,CRC_test_185,,
199,CRC_test_192,,
200,CRC_test_193,,
201,CRC_test_194,,
202,CRC_test_195,,
203,CRC_test_198,,
204,CRC_test_199,,
205,CRC_test_201,,
206,CRC_test_203,,
207,CRC_test_206,,
208,CRC_test_210,,
209,CRC_test_212,,
210,CRC_test_214,,
211,CRC_test_215,,
212,CRC_test_218,,
213,CRC_test_221,,
214,CRC_test_227,,
215,CRC_test_228,,
216,CRC_test_232,,
217,CRC_test_233,,
218,CRC_test_234,,
219,CRC_test_235,,
220,CRC_test_237,,
221,CRC_test_238,,
222,CRC_test_239,,
223,CRC_test_245,,
224,CRC_test_247,,
225,CRC_test_248,,
226,CRC_test_252,,
227,CRC_test_254,,
228,CRC_test_255,,
229,CRC_test_257,,
230,CRC_test_269,,
231,CRC_test_270,,
232,CRC_test_271,,
233,CRC_test_273,,
234,CRC_test_275,,
235,CRC_test_276,,
236,CRC_test_280,,
237,CRC_test_281,,
238,CRC_test_282,,
239,CRC_test_284,,
240,CRC_test_286,,
241,CRC_test_287,,
242,CRC_test_288,,
243,CRC_test_295,,
244,CRC_test_301,,
245,CRC_test_302,,
246,CRC_test_303,,
247,CRC_test_304,,
248,CRC_test_307,,
249,CRC_test_309,,
250,CRC_test_312,,
251,CRC_test_314,,
252,CRC_test_316,,
253,CRC_test_320,,
254,CRC_test_322,,
255,CRC_test_325,,
256,CRC_test_333,,
257,CRC_test_335,,
258,CRC_test_338,,
259,CRC_test_341,,
260,CRC_test_342,,
261,CRC_test_346,,
262,CRC_test_350,,
263,CRC_test_353,,
264,CRC_test_355,,
265,CRC_test_356,,
266,CRC_test_357,,
267,CRC_test_361,,
268,CRC_test_362,,
269,CRC_test_365,,
270,CRC_test_368,,
271,CRC_test_369,,
272,CRC_test_372,,
273,CRC_test_373,,
274,CRC_test_378,,
275,CRC_test_381,,
276,CRC_test_384,,
277,CRC_test_388,,
278,CRC_test_391,,
279,CRC_test_392,,
280,CRC_test_395,,
281,CRC_test_396,,
282,CRC_test_399,,
283,CRC_test_406,,
284,CRC_test_408,,
285,CRC_test_410,,
286,CRC_test_411,,
287,CRC_test_412,,
288,CRC_test_414,,
289,CRC_test_415,,
290,CRC_test_416,,
291,CRC_test_417,,
292,CRC_test_418,,
293,CRC_test_419,,
294,CRC_test_421,,
295,CRC_test_423,,
296,CRC_test_424,,
297,CRC_test_425,,
298,CRC_test_429,,
299,CRC_test_432,,
300,CRC_test_437,,
301,CRC_test_438,,
302,CRC_test_439,,
303,CRC_test_444,,
304,CRC_test_446,,
305,CRC_test_448,,
306,CRC_test_450,,
307,CRC_test_453,,
308,CRC_test_454,,
309,CRC_test_455,,
310,CRC_test_457,,
311,CRC_test_463,,
312,CRC_test_464,,
313,CRC_test_465,,
314,CRC_test_466,,
315,CRC_test_480,,
316,CRC_test_481,,
317,CRC_test_484,,
318,CRC_test_486,,
319,CRC_test_488,,
320,CRC_test_492,,
321,CRC_test_493,,
322,CRC_test_495,,
323,CRC_test_496,,
324,CRC_test_503,,
325,CRC_test_505,,
326,CRC_test_506,,
327,CRC_test_507,,
328,CRC_test_508,,
329,CRC_test_511,,
330,CRC_test_512,,
331,CRC_test_514,,
332,CRC_test_516,,
333,CRC_test_518,,
334,CRC_test_521,,
335,CRC_test_524,,
336,CRC_test_525,,
337,CRC_test_529,,
338,CRC_test_530,,
339,CRC_test_531,,
340,CRC_test_535,,
341,CRC_test_541,,
342,CRC_test_542,,
343,CRC_test_543,,
344,CRC_test_545,,
345,CRC_test_546,,
346,CRC_test_547,,
347,CRC_test_548,,
348,CRC_test_549,,
349,CRC_test_550,,
350,CRC_test_551,,
351,CRC_test_552,,
352,CRC_test_554,,
353,CRC_test_556,,
354,CRC_test_559,,
355,CRC_test_560,,
356,CRC_test_562,,
357,CRC_test_564,,
358,CRC_test_566,,
359,CRC_test_567,,
360,CRC_test_569,,
361,CRC_test_571,,
362,CRC_test_572,,
363,CRC_test_573,,
364,CRC_test_575,,
365,CRC_test_576,,
366,CRC_test_577,,
367,CRC_test_581,,
368,CRC_test_584,,
369,CRC_test_585,,
370,CRC_test_586,,
371,CRC_test_588,,
372,CRC_test_589,,
373,CRC_test_590,,
374,CRC_test_591,,
375,CRC_test_592,,
376,CRC_test_593,,
377,CRC_test_594,,
378,CRC_test_595,,
379,CRC_test_597,,
380,CRC_test_599,,
381,CRC_test_600,,
382,CRC_test_602,,
383,CRC_test_604,,
384,CRC_test_606,,
385,CRC_test_607,,
386,CRC_test_608,,
387,CRC_test_609,,
388,CRC_test_616,,
389,CRC_test_619,,
390,CRC_test_621,,
391,CRC_test_623,,
392,CRC_test_626,,
393,CRC_test_633,,
394,CRC_test_638,,
395,CRC_test_639,,
396,CRC_test_640,,
397,CRC_test_641,,
398,CRC_test_642,,
399,CRC_test_644,,
400,CRC_test_646,,
401,CRC_test_648,,
402,CRC_test_650,,
403,CRC_test_653,,
404,CRC_test_658,,
405,CRC_test_659,,
406,CRC_test_662,,
407,CRC_test_663,,
408,CRC_test_665,,
409,CRC_test_666,,
410,CRC_test_673,,
411,CRC_test_674,,
412,CRC_test_677,,
413,CRC_test_682,,
414,CRC_test_683,,
415,CRC_test_684,,
416,CRC_test_685,,
417,CRC_test_686,,
418,CRC_test_687,,
419,CRC_test_688,,
420,CRC_test_690,,
421,CRC_test_691,,
422,CRC_test_693,,
423,CRC_test_700,,
424,CRC_test_701,,
425,CRC_test_702,,
426,CRC_test_714,,
427,CRC_test_718,,
428,CRC_test_719,,
429,CRC_test_725,,
430,CRC_test_728,,
431,CRC_test_729,,
432,CRC_test_730,,
433,CRC_test_731,,
434,CRC_test_732,,
435,CRC_test_733,,
436,CRC_test_734,,
437,CRC_test_736,,
438,CRC_test_740,,
439,CRC_test_741,,
440,CRC_test_745,,
441,CRC_test_747,,
442,CRC_test_752,,
443,CRC_test_753,,
444,CRC_test_755,,
445,CRC_test_759,,
446,CRC_test_761,,
447,CRC_test_765,,
448,CRC_test_766,,
449,CRC_test_768,,
450,CRC_test_770,,
451,CRC_test_771,,
452,CRC_test_774,,
453,CRC_test_776,,
454,CRC_test_785,,
455,CRC_test_787,,
456,CRC_test_788,,
457,CRC_test_794,,
458,CRC_test_796,,
459,CRC_test_800,,
460,CRC_test_801,,
461,CRC_test_805,,
462,CRC_test_806,,
463,CRC_test_807,,
464,CRC_test_808,,
465,CRC_test_812,,
466,CRC_test_814,,
467,CRC_test_818,,
468,CRC_test_819,,
469,CRC_test_824,,
470,CRC_test_826,,
471,CRC_test_827,,
472,CRC_test_829,,
473,CRC_test_831,,
474,CRC_test_834,,
475,CRC_test_836,,
476,CRC_test_837,,
477,CRC_test_838,,
478,CRC_test_840,,
479,CRC_test_841,,
480,CRC_test_842,,
481,CRC_test_845,,
482,CRC_test_846,,
483,CRC_test_849,,
484,CRC_test_854,,
485,CRC_test_855,,
486,CRC_test_857,,
487,CRC_test_858,,
488,CRC_test_859,,
489,CRC_test_860,,
490,CRC_test_861,,
491,CRC_test_863,,
492,CRC_test_864,,
493,CRC_test_869,,
494,CRC_test_870,,
495,CRC_test_872,,
496,CRC_test_874,,
497,CRC_test_877,,
498,CRC_test_878,,
499,CRC_test_881,,
500,CRC_test_883,,
501,CRC_test_888,,
502,CRC_test_889,,
503,CRC_test_890,,
504,CRC_test_891,,
505,CRC_test_892,,
506,CRC_test_893,,
507,CRC_test_004,,
508,CRC_test_019,,
509,CRC_test_023,,
510,CRC_test_024,,
511,CRC_test_026,,
512,CRC_test_031,,
513,CRC_test_032,,
514,CRC_test_037,,
515,CRC_test_042,,
516,CRC_test_064,,
517,CRC_test_066,,
518,CRC_test_068,,
519,CRC_test_069,,
520,CRC_test_073,,
521,CRC_test_086,,
522,CRC_test_109,,
523,CRC_test_110,,
524,CRC_test_111,,
525,CRC_test_117,,
526,CRC_test_120,,
527,CRC_test_125,,
528,CRC_test_126,,
529,CRC_test_129,,
530,CRC_test_132,,
531,CRC_test_133,,
532,CRC_test_136,,
533,CRC_test_140,,
534,CRC_test_144,,
535,CRC_test_146,,
536,CRC_test_150,,
537,CRC_test_160,,
538,CRC_test_162,,
539,CRC_test_171,,
540,CRC_test_176,,
541,CRC_test_186,,
542,CRC_test_190,,
543,CRC_test_200,,
544,CRC_test_205,,
545,CRC_test_208,,
546,CRC_test_211,,
547,CRC_test_213,,
548,CRC_test_220,,
549,CRC_test_223,,
550,CRC_test_224,,
551,CRC_test_225,,
552,CRC_test_230,,
553,CRC_test_236,,
554,CRC_test_240,,
555,CRC_test_243,,
556,CRC_test_244,,
557,CRC_test_246,,
558,CRC_test_249,,
559,CRC_test_250,,
560,CRC_test_251,,
561,CRC_test_259,,
562,CRC_test_260,,
563,CRC_test_261,,
564,CRC_test_263,,
565,CRC_test_268,,
566,CRC_test_274,,
567,CRC_test_289,,
568,CRC_test_290,,
569,CRC_test_291,,
570,CRC_test_293,,
571,CRC_test_294,,
572,CRC_test_296,,
573,CRC_test_299,,
574,CRC_test_308,,
575,CRC_test_310,,
576,CRC_test_311,,
577,CRC_test_319,,
578,CRC_test_324,,
579,CRC_test_328,,
580,CRC_test_329,,
581,CRC_test_330,,
582,CRC_test_332,,
583,CRC_test_334,,
584,CRC_test_337,,
585,CRC_test_339,,
586,CRC_test_344,,
587,CRC_test_345,,
588,CRC_test_347,,
589,CRC_test_349,,
590,CRC_test_352,,
591,CRC_test_354,,
592,CRC_test_358,,
593,CRC_test_359,,
594,CRC_test_364,,
595,CRC_test_371,,
596,CRC_test_375,,
597,CRC_test_376,,
598,CRC_test_379,,
599,CRC_test_380,,
600,CRC_test_382,,
601,CRC_test_385,,
602,CRC_test_386,,
603,CRC_test_389,,
604,CRC_test_394,,
605,CRC_test_397,,
606,CRC_test_401,,
607,CRC_test_403,,
608,CRC_test_407,,
609,CRC_test_409,,
610,CRC_test_420,,
611,CRC_test_428,,
612,CRC_test_433,,
613,CRC_test_435,,
614,CRC_test_440,,
615,CRC_test_441,,
616,CRC_test_443,,
617,CRC_test_445,,
618,CRC_test_451,,
619,CRC_test_452,,
620,CRC_test_456,,
621,CRC_test_458,,
622,CRC_test_460,,
623,CRC_test_467,,
624,CRC_test_468,,
625,CRC_test_472,,
626,CRC_test_474,,
627,CRC_test_476,,
628,CRC_test_482,,
629,CRC_test_483,,
630,CRC_test_487,,
631,CRC_test_489,,
632,CRC_test_490,,
633,CRC_test_500,,
634,CRC_test_502,,
635,CRC_test_504,,
636,CRC_test_509,,
637,CRC_test_522,,
638,CRC_test_523,,
639,CRC_test_532,,
640,CRC_test_539,,
641,CRC_test_544,,
642,CRC_test_553,,
643,CRC_test_558,,
644,CRC_test_561,,
645,CRC_test_568,,
646,CRC_test_570,,
647,CRC_test_578,,
648,CRC_test_582,,
649,CRC_test_583,,
650,CRC_test_598,,
651,CRC_test_601,,
652,CRC_test_610,,
653,CRC_test_612,,
654,CRC_test_613,,
655,CRC_test_615,,
656,CRC_test_617,,
657,CRC_test_624,,
658,CRC_test_625,,
659,CRC_test_628,,
660,CRC_test_629,,
661,CRC_test_630,,
662,CRC_test_634,,
663,CRC_test_636,,
664,CRC_test_637,,
665,CRC_test_645,,
666,CRC_test_649,,
667,CRC_test_652,,
668,CRC_test_654,,
669,CRC_test_655,,
670,CRC_test_660,,
671,CRC_test_661,,
672,CRC_test_664,,
673,CRC_test_667,,
674,CRC_test_670,,
675,CRC_test_671,,
676,CRC_test_679,,
677,CRC_test_680,,
678,CRC_test_689,,
679,CRC_test_692,,
680,CRC_test_694,,
681,CRC_test_703,,
682,CRC_test_704,,
683,CRC_test_705,,
684,CRC_test_708,,
685,CRC_test_709,,
686,CRC_test_711,,
687,CRC_test_713,,
688,CRC_test_715,,
689,CRC_test_716,,
690,CRC_test_717,,
691,CRC_test_720,,
692,CRC_test_721,,
693,CRC_test_726,,
694,CRC_test_727,,
695,CRC_test_737,,
696,CRC_test_738,,
697,CRC_test_739,,
698,CRC_test_749,,
699,CRC_test_750,,
700,CRC_test_754,,
701,CRC_test_756,,
702,CRC_test_764,,
703,CRC_test_767,,
704,CRC_test_769,,
705,CRC_test_773,,
706,CRC_test_775,,
707,CRC_test_780,,
708,CRC_test_782,,
709,CRC_test_783,,
710,CRC_test_791,,
711,CRC_test_793,,
712,CRC_test_795,,
713,CRC_test_797,,
714,CRC_test_802,,
715,CRC_test_810,,
716,CRC_test_811,,
717,CRC_test_821,,
718,CRC_test_825,,
719,CRC_test_828,,
720,CRC_test_830,,
721,CRC_test_832,,
722,CRC_test_839,,
723,CRC_test_843,,
724,CRC_test_847,,
725,CRC_test_848,,
726,CRC_test_850,,
727,CRC_test_853,,
728,CRC_test_865,,
729,CRC_test_866,,
730,CRC_test_876,,
731,CRC_test_879,,
732,CRC_test_880,,
733,CRC_test_886,,
734,CRC_test_896,,
735,CRC_test_513,,
736,CRC_test_462,,
737,CRC_test_748,,
738,CRC_test_099,,
739,CRC_test_231,,
740,CRC_test_746,,
741,CRC_test_815,,
742,CRC_test_074,,
