,train,val,test
CRC_test_000,True,False,False
CRC_test_006,True,False,False
CRC_test_016,True,False,False
CRC_test_025,True,False,False
CRC_test_033,True,False,False
CRC_test_041,True,False,False
CRC_test_043,True,False,False
CRC_test_048,True,False,False
CRC_test_055,True,False,False
CRC_test_062,True,False,False
CRC_test_072,True,False,False
CRC_test_087,True,False,False
CRC_test_091,True,False,False
CRC_test_094,True,False,False
CRC_test_095,True,False,False
CRC_test_096,True,False,False
CRC_test_097,True,False,False
CRC_test_100,True,False,False
CRC_test_115,True,False,False
CRC_test_119,True,False,False
CRC_test_123,True,False,False
CRC_test_124,True,False,False
CRC_test_134,True,False,False
CRC_test_138,True,False,False
CRC_test_143,True,False,False
CRC_test_148,True,False,False
CRC_test_165,True,False,False
CRC_test_173,True,False,False
CRC_test_181,True,False,False
CRC_test_189,True,False,False
CRC_test_196,True,False,False
CRC_test_216,True,False,False
CRC_test_222,True,False,False
CRC_test_226,True,False,False
CRC_test_258,True,False,False
CRC_test_265,True,False,False
CRC_test_266,True,False,False
CRC_test_267,True,False,False
CRC_test_272,True,False,False
CRC_test_279,True,False,False
CRC_test_283,True,False,False
CRC_test_292,True,False,False
CRC_test_297,True,False,False
CRC_test_298,True,False,False
CRC_test_300,True,False,False
CRC_test_305,True,False,False
CRC_test_317,True,False,False
CRC_test_321,True,False,False
CRC_test_323,True,False,False
CRC_test_336,True,False,False
CRC_test_343,True,False,False
CRC_test_363,True,False,False
CRC_test_367,True,False,False
CRC_test_370,True,False,False
CRC_test_374,True,False,False
CRC_test_383,True,False,False
CRC_test_390,True,False,False
CRC_test_393,True,False,False
CRC_test_405,True,False,False
CRC_test_426,True,False,False
CRC_test_430,True,False,False
CRC_test_431,True,False,False
CRC_test_434,True,False,False
CRC_test_447,True,False,False
CRC_test_461,True,False,False
CRC_test_469,True,False,False
CRC_test_470,True,False,False
CRC_test_491,True,False,False
CRC_test_494,True,False,False
CRC_test_498,True,False,False
CRC_test_526,True,False,False
CRC_test_527,True,False,False
CRC_test_533,True,False,False
CRC_test_536,True,False,False
CRC_test_555,True,False,False
CRC_test_563,True,False,False
CRC_test_565,True,False,False
CRC_test_574,True,False,False
CRC_test_603,True,False,False
CRC_test_605,True,False,False
CRC_test_614,True,False,False
CRC_test_618,True,False,False
CRC_test_622,True,False,False
CRC_test_627,True,False,False
CRC_test_668,True,False,False
CRC_test_669,True,False,False
CRC_test_695,True,False,False
CRC_test_697,True,False,False
CRC_test_698,True,False,False
CRC_test_699,True,False,False
CRC_test_706,True,False,False
CRC_test_710,True,False,False
CRC_test_723,True,False,False
CRC_test_735,True,False,False
CRC_test_742,True,False,False
CRC_test_744,True,False,False
CRC_test_757,True,False,False
CRC_test_772,True,False,False
CRC_test_778,True,False,False
CRC_test_781,True,False,False
CRC_test_784,True,False,False
CRC_test_790,True,False,False
CRC_test_798,True,False,False
CRC_test_799,True,False,False
CRC_test_803,True,False,False
CRC_test_804,True,False,False
CRC_test_809,True,False,False
CRC_test_813,True,False,False
CRC_test_816,True,False,False
CRC_test_820,True,False,False
CRC_test_822,True,False,False
CRC_test_862,True,False,False
